ID,Title,Author / Source,Year,Type,Main Focus / Notes,URL
1,Navigating Graduate School While Managing a Chronic Illness,Jay Summer – Inside Higher Ed,2018,Personal essay,"MFA student with migraine, fibromyalgia, POTS, IBS, anxiety; health‑first priorities and flexible scheduling in grad school.",https://www.insidehighered.com/advice/2018/12/05/firsthand-lessons-how-succeed-grad-school-despite-being-chronically-ill-opinion
2,True Confessions of a Chronically Ill PhD,GradHacker / Inside Higher Ed,2014,Personal essay,"Sociology PhD with lupus and RA; advisor treatment, disability office limits, finishing PhD while ill.",https://www.insidehighered.com/blogs/gradhacker/true-confessions-chronically-ill-phd
3,My Story: Grad School and Chronic Illness,Alterra Sanchez – UMD Graduate School,2019,Personal essay (institution site),"PhD env. science; learning disability and caregiving for family member with autoimmune illness; “spoons,” boundaries, support network.",https://gradschool.umd.edu/newsroom/mystory_alterrasanchez
4,A Day in the Life of a Grad Student with an Invisible Chronic Illness,Editage Insights,2019,Personal essay,"Grad student with ME, chronic pain, PANS, OCD, anxiety, depression, ADHD; minute‑by‑minute description of a typical day.",https://www.editage.com/insights/a-day-in-the-life-of-a-grad-student-with-an-invisible-chronic-illness
5,Coping with a Chronic Illness during a PhD,Lieselot Nguyen – Voices of Academia,2021,Personal essay,"Evolutionary biology PhD with endometriosis; long pre‑diagnosis period, medical leave, coping strategies, supervisor communication.",https://voicesofacademia.com/2021/02/19/coping-with-a-chronic-illness-during-a-phd-by-lieselot-nguyen/
6,My PhD and Chronic Illness Journey: Three Tips to Stay Afloat,University of Glasgow PGR Blog,2025,Personal essay,"Part‑time PhD with Crohn’s disease; “put yourself first,” ask for help, realistic flexible goals.",https://uofgpgrblog.com/pgrblog/2025/11/3/my-phd-and-chronic-illness-journey-three-tips-to-stay-afloatnbsp
7,Managing Chronic Illness during Graduate School,Time2Track Blog,2018,Personal essay,"Grad student with lupus and pulmonary hypertension; dropping classes, hospitalizations, individualized tools and interventions.",https://blog.time2track.com/managing-chronic-illness-during-graduate-school/
8,Managing Chronic Illness as a Ph.D. Student,Rice University,2023,Personal essay,"PhD student; disclosing to PI, restructuring research for remote work, counseling, self‑kindness.",https://graduate.rice.edu/news/current-news/managing-chronic-illness-phd-student
9,How to Get Through Grad School with a Chronic Illness,Nadha Hassen,2020,Personal essay,"Grad student; funding apps, building routines (sleep, walks, podcasts), intentional well‑being time.",https://nadhahassen.com/how-to-get-through-grad-school-with-a-chronic-illness/
10,Lessons from Writing a PhD with a Chronic Illness,Amber Davis – Chronically Academic,2016,Personal essay,"Political science PhD; sudden health crash, finishing thesis while ill, leaving academia to coach PhDs.",https://chronicallyacademic.blogspot.com/2016/08/lessons-from-writing-phd-with-chronic.html
11,A Reflection on Chronic Illness and Graduate School,PhD(isabled) blog,2014,Personal essay,Retrospective reflection on being chronically ill in grad school and making peace with the experience.,https://phdisabled.wordpress.com/2014/11/19/a-reflection-on-chronic-illness-and-graduate-school/
12,The Adjusted PhD: What Accommodations Work(ed) For You?,PhDisabled blog,2014,Blog + comment narratives,Disabled PhD’s post plus comments describing specific accommodations that worked/failed.,https://phdisabled.wordpress.com/2014/06/11/the-adjusted-phd-what-accommodations-worked-for-you/
13,We Need to Talk About Disability and Chronic Illness During the PhD,Thesis Whisperer,2018,Opinion + narrative,Argues for visibility of disabled PhD students; includes author’s experience and quoted stories.,https://thesiswhisperer.com/2018/02/28/we-need-to-talk-about-disability-and-chronic-illness-during-the-phd/
14,Chronic Illness While a Graduate Student,Kate the (Almost) Great,2015,Personal blog,"Grad student with chronic illness; day‑to‑day practicalities, symptom flare management, academic pressure.",https://katethealmostgreat.com/chronic-illness-while-graduate-studen/
15,Managing Long‑Term Illness & PhD Study,Nadine Leese (guest post),2014,Personal essay,"CS PhD; ME and progressive neurological disease; part‑time study, adaptation, later degree completion.",https://nadinemuller.org/disability-and-chronic-illness/vivienne-dunstan/
16,Dual Discipline: Doing a PhD with a Chronic Illness,Max Portman – The PhD Place,2023,Personal essay,"PhD student with chronic illness (Crohn’s); fluctuating symptoms, emotional labor, advocacy.",https://thephdplace.com/dual-discipline-doing-a-phd-with-a-chronic-illness-by-max-portman/
17,“Learn Something”: Reflections of a Chronically Ill Graduate Student,Medical Health Humanities blog,2019,Personal essay,"Humanities grad student; chronic illness, pressure to extract “lessons”, navigating academia.",https://medicalhealthhumanities.com/2019/12/23/learn-something-reflections-of-a-chronically-ill-graduate-student/
18,Invincible We Are: A Student Blog on Living with Chronic Illness,University of Saskatchewan (MyMD blog),2022,Student blog series,Medical student narratives about living and studying with chronic illness.,https://medicine.usask.ca/news/2022/mymd/invincible-we-are-a-student-blog-on-living-with-chronic-illness.php
19,Life as a Chronically Ill PhD Student,Libby Brown – ACS Central Science,2023,Personal essay (journal),"Cambridge chemistry PhD; lab work, energy, expectations while chronically ill.",https://pubs.acs.org/doi/10.1021/acscentsci.3c00464
20,Chronically Ill College Student Well‑Being: A Systematic Review of Qualitative Research,SLU,2019,Qualitative review,Synthesizes qualitative studies with students’ own descriptions of living with chronic illness in college.,https://www.slu.edu/life-at-slu/student-success-center/accessibility-and-disability-resources/-pdf/chronically-iii-college-stude
21,Doctoral Students’ Experiences of Serious and Chronic Illness,Harvard Ed.D. dissertation,2019,Dissertation (qualitative),Interviews doctoral students about serious and chronic illness during their programs.,https://dash.harvard.edu/bitstreams/b92655c7-a8c7-4858-8de7-d4ef269c1f64/download
22,Shifting Narratives of the Self – Students’ Experiences of Chronicity (thesis copy),Spencer – Univ. of Hertfordshire,2021,Thesis PDF,Underlying thesis with detailed student narratives of chronic illness at university.,https://uhra.herts.ac.uk/id/eprint/9567/1/Spencer_Almack_2021.pdf
23,Chronic Illness and the College Student Experience: An Anti‑Deficit Perspective,University of Missouri thesis,2019,Thesis,Qualitative/quantitative; includes interview excerpts from chronically ill undergrads.,https://mospace.umsystem.edu/xmlui/handle/10355/70715
24,Invisible Chronic Illness in Female College Students,ERIC article,2022,Qualitative study,Female undergrad/grad students; negotiating college while living with invisible illnesses.,https://files.eric.ed.gov/fulltext/EJ1342743.pdf
25,Chronic Illness and the Academic Career,AAUP Academe,2012,Essay + narratives,"Academics with chronic illness; balancing productivity with health, structural barriers.",https://www.aaup.org/academe/issues/2012-issues-1/chronic-illness-and-academic-career
26,Managing a chronic Condition in Graduate School,OnlineMastersDegrees.org,2023,Guide with student quotes,Explains common chronic conditions and includes quoted experiences from master’s students.,https://www.onlinemastersdegrees.org/student-resources/chronic-conditions-in-grad-school/
27,Chronically awesome: College students learn to balance life with chronic conditions,Unearthed Magazine (WordPress),2016,Magazine feature,"Missouri students with Hashimoto’s, depression, etc.; balancing college and illness.",https://unearthedmag.wordpress.com/2016/05/11/chronically-awesome-college-students-learn-to-balance-life-with-chronic-conditions/
28,Valuing chronically ill graduate students,Tenure She Wrote (WordPress),2016,Blog post,Funding challenges and systemic barriers; argues for valuing chronically ill grads.,https://tenureshewrote.wordpress.com/2016/09/22/valuing-chronically-ill-graduate-students/
29,Guest Post: Balancing academia and chronic illness,Dynamic Ecology (WordPress),2020,Guest post,Ecologist balancing chronic illness with fieldwork and academic responsibilities.,https://dynamicecology.wordpress.com/2020/04/13/guest-post-balancing-academia-and-chronic-illness/
30,Chronic illness and making an academic career/working life,Bruce D. Watson (WordPress),2015,Personal blog,Academic with chronic illness; reflects on productivity and “unjustified judgements”.,https://brucedwatson.wordpress.com/2015/04/24/chronic-illness-and-making-an-academic-careerworking-life-unjustified-judgements/
31,Top College Search Tips for Students With Chronic Illness,CollegeXpress,2025,Advice article,Guidance plus lived‑experience perspective on searching for supportive colleges.,https://www.collegexpress.com/articles-and-advice/admission/articles/find-college/top-college-search-tips-for-students-with-chronic-illness/